factset_entity_id,vendor_id
05PJRB-E, 156230873
09T59X-E, 142917786
0B59K0-E, 146900366
098RH8-E, 49762235
05MX8W-E, 156251392
08WVZJ-E, 55062277
07XQ7H-E, 61052887
07XCRY-E, 143311789
0F37TB-E, 26128003
08DXBC-E, 296310109
0BHVD5-E, 49762235
080LCP-E, 142852455
085VQQ-E, 197475975
07QD2V-E, 137744897
09X9DG-E, 146757673
0882NY-E, 156325940
08HH6C-E, 27499488
0F2Y82-E, 156222111
05PFM0-E, 36819703
07KP8R-E, 49864145
06SYPP-E, 52370687
05WKNK-E, 156205808
06RLBZ-E, 38393665
0B167D-E, 142821374
07W0HB-E, 22043444
07YVSB-E, 156221453
07PVK3-E, 49854184
0DHHLK-E, 287781671
08HY4Q-E, 49865827
0837HH-E, 198538109
08JFNL-E, 22588754
0DB5XV-E, 63206215
00GFBZ-E, 137841979
07XFJX-E, 178720190
07TYRM-E, 156203582
0998KS-E, 298707546
07FMZL-E, 56888953
05L3DP-E, 21629417
061867-E, 156232083
07R738-E, 31810904
007TJH-E, 152044523
0CYSC7-E, 202499685
0648PZ-E, 156296497
07ZG5Z-E, 178917981
07VLHH-E, 156272155
0B6RJM-E, 24392380
06N8PL-E, 146688422
0F6992-E, 25811540
0F6939-E, 29277876
07VSGJ-E, 30112350
07ZKZZ-E, 29789375
06MBR4-E, 156351820
09T7MC-E, 146467180
000P7C-E, 19889383
05L3CJ-E, 49809662
0BKXM6-E, 156298145
07P9HV-E, 52161361
09H0GN-E, 153411796
0F7XFH-E, 41260275
07VKXL-E, 52145116
0CN4G9-E, 190554115
07TYKB-E, 19889383
07H64R-E, 22947920
0FXXLB-E, 50974982
002YJS-E, 33864068
07XL0F-E, 156268604
07ZJLK-E, 46776021
085QTQ-E, 275851366
07ZJRD-E, 315167017
05LJQL-E, 19889383
0GGM8P-E, 136785136
0837VF-E, 178862814
07ZFW3-E, 62663099
064Y7V-E, 142852455
0F8X4J-E, 26128003
075Z45-E, 63218920
09LL2P-E, 57274921
0GNGQ4-E, 22947920
0BBVM1-E, 142848128
08H6HX-E, 156222111
006L4M-E, 39957373
0GVP8X-E, 52131860
0FTS28-E, 55243655
0FLVGT-E, 146816903
085BSR-E, 142656436
07RKVK-E, 56589552
07W9D2-E, 56227737
002F2H-E, 49760854
07L4VX-E, 38579280
07R8QN-E, 156242006
07XCVQ-E, 314083908
07W2QS-E, 19889595
0C6JWZ-E, 20966935
0B0GTJ-E, 49853649
07ZL8X-E, 19888201
0FTK93-E, 33774918
085J52-E, 156351506
0FZYV6-E, 146837107
09T6CH-E, 146466428
0B9B9V-E, 298387118
080PJY-E, 44551575
00116B-E, 178652267
0032M9-E, 32406767
07RC39-E, 139669805
05PHXX-E, 197558043
088MSZ-E, 145276520
0H52BR-E, 51028785
07XXVD-E, 52719591
09GF44-E, 298707546
08BLH0-E, 33047603
07XHMK-E, 49896568
06P491-E, 156216888
000P50-E, 142800510
0H21HX-E, 308618181
0HMJ53-E, 258926217
085GV8-E, 63219096
09T78F-E, 146435646
05PHBG-E, 274364977
0025HQ-E, 31235959
080NPZ-E, 23209147
009HDS-E, 19298284
00DHRX-E, 142852455
07ZF61-E, 49910704
05PJVT-E, 32956363
05PG21-E, 145276520
0F50HZ-E, 19215188
004LSR-E, 195298196
07W8ZR-E, 156179446
0CWY69-E, 142885868
09T81J-E, 146467029
0CNRWL-E, 146615501
0869X5-E, 49772062
07PBP0-E, 156368692
0H0LJ8-E, 50974982
0F4PZC-E, 294078088
0DJ9YV-E, 139255074
00DH4H-E, 35211516
0GZDXB-E, 145276520
07PFC0-E, 156334621
07PW9K-E, 27652915
07VMBH-E, 156347016
0F4ZVV-E, 49762235
0FP8R6-E, 23344100
